uniq_id_1,id_1,uniq_id_2,id_2,score_1,score_2,gap_score,aft_v4_f0_1,aft_v4_f1_1,aft_v4_f2_1,aft_v4_f3_1,aft_v4_f4_1,aft_v4_f5_1,aft_v4_f6_1,aft_v4_f7_1,aft_v4_f8_1,aft_v4_f13_1,aft_v4_f14_1,aft_v4_f15_1,aft_v4_f16_1,aft_v4_f17_1,aft_v4_f18_1,aft_v4_f19_1,aft_v4_f0_2,aft_v4_f1_2,aft_v4_f2_2,aft_v4_f3_2,aft_v4_f4_2,aft_v4_f5_2,aft_v4_f6_2,aft_v4_f7_2,aft_v4_f8_2,aft_v4_f13_2,aft_v4_f14_2,aft_v4_f15_2,aft_v4_f16_2,aft_v4_f17_2,aft_v4_f18_2,aft_v4_f19_2,gap_aft_v4_f0,gap_aft_v4_f1,gap_aft_v4_f2,gap_aft_v4_f3,gap_aft_v4_f4,gap_aft_v4_f5,gap_aft_v4_f6,gap_aft_v4_f7,gap_aft_v4_f8,gap_aft_v4_f13,gap_aft_v4_f14,gap_aft_v4_f15,gap_aft_v4_f16,gap_aft_v4_f17,gap_aft_v4_f18,gap_aft_v4_f19
705050,953,3f39210485484376890c097c70a4489c,953,0.183527,0.246326,0.062799,0.586821,0.583865,0.54519,0.5470510000000001,0.5789449999999999,0.513573,0.58114,0.580263,0.603876,0.6616569999999999,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.586821,0.583865,0.54519,0.5470510000000001,0.5789449999999999,0.513573,0.58114,0.580263,0.603876,0.6616569999999999,0.644231,0.705957,0.597121,0.619384,0.755337,0.755303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473499999999999,0.14284399999999997,0.008348000000000022,0.04828500000000002,0.181083,0.0906309999999999
715731,55468,4082b70fb875404096af320acd5652ea,55468,0.206975,0.264988,0.058013,0.5949760000000001,0.593222,0.535566,0.6091989999999999,0.583313,0.548504,0.5913010000000001,0.612698,0.610232,0.705671,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.5949760000000001,0.593222,0.535566,0.6091989999999999,0.583313,0.548504,0.5913010000000001,0.612698,0.610232,0.705671,0.7129810000000001,0.563113,0.45182700000000003,0.617833,0.640153,0.756704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13348500000000008,0.0,0.13694599999999996,0.04673399999999994,0.06589899999999993,0.092032
712315,52356,230f0624113d49c1879a787c67d98a7c,52356,0.119412,0.162197,0.042785,0.502249,0.548732,0.46238599999999996,0.540606,0.594863,0.5311279999999999,0.582123,0.516601,0.519745,0.663258,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.502249,0.548732,0.46238599999999996,0.540606,0.594863,0.5311279999999999,0.582123,0.516601,0.519745,0.663258,0.647169,0.575354,0.728324,0.45719799999999994,0.690477,0.677057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06767299999999998,0.012241000000000057,0.13955099999999998,0.11390100000000009,0.11622299999999997,0.01238499999999998
713452,52789,7d5f24af555540ecaf5c590eefde0a41,52789,0.236943,0.195456,0.041487,0.512081,0.523544,0.509467,0.57736,0.500999,0.49432,0.534071,0.542661,0.5437810000000001,0.698235,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.512081,0.523544,0.509467,0.57736,0.500999,0.49432,0.534071,0.542661,0.5437810000000001,0.699802,0.47116800000000003,0.469055,0.5902729999999999,0.520317,0.435113,0.449888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001566999999999985,0.10832799999999998,0.09405799999999997,0.0014999999999999458,0.050781999999999994,0.13914100000000001,0.21478400000000003
705204,2917,44eb23e3c1b442cc828fdf8fade26a6e,2917,0.161149,0.201138,0.039989,0.5949760000000001,0.593222,0.535566,0.6091989999999999,0.583313,0.548504,0.5913010000000001,0.612698,0.610232,0.546235,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.5949760000000001,0.593222,0.535566,0.6091989999999999,0.583313,0.548504,0.5913010000000001,0.612698,0.610232,0.546235,0.7129810000000001,0.563113,0.45182700000000003,0.617833,0.640153,0.756704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13348500000000008,0.0,0.13694599999999996,0.04673399999999994,0.06589899999999993,0.092032
709052,48706,241753d60ddc4ebbac7069411665794d,48706,0.245168,0.284457,0.039289,0.62343,0.589481,0.519654,0.6176729999999999,0.601057,0.623668,0.6751149999999999,0.668014,0.670251,0.6499520000000001,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.62343,0.589481,0.519654,0.6176729999999999,0.601057,0.623668,0.6751149999999999,0.668014,0.670251,0.6499520000000001,0.639668,0.563113,0.712908,0.540503,0.594521,0.586695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060172,0.0,0.124135,0.030596000000000068,0.020266999999999924,0.07797700000000007
676441,19381,145aedc7d8644ce78818e55fb182ffec,19381,0.123953,0.160261,0.036308,0.595938,0.48647299999999993,0.535566,0.5831270000000001,0.542341,0.576725,0.589481,0.586647,0.5831270000000001,0.6225229999999999,0.6037279999999999,0.563113,0.58709,0.5409010000000001,0.585136,0.561891,0.658887,0.6583479999999999,0.535566,0.657928,0.666039,0.613309,0.661813,0.673217,0.692282,0.63508,0.6037279999999999,0.563113,0.58709,0.5409010000000001,0.585136,0.561891,0.06294900000000003,0.171875,0.0,0.0748009999999999,0.12369800000000009,0.03658399999999995,0.07233199999999995,0.08656999999999992,0.10915499999999989,0.01255700000000004,0.0,0.0,0.0,0.0,0.0,0.0
691522,34518,4ac465fe89ca4fbfb70825ae652db593,34518,0.110943,0.075607,0.035336,0.632066,0.509844,0.508067,0.5710649999999999,0.612996,0.562763,0.566571,0.64418,0.644524,0.43658199999999997,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.632066,0.509844,0.508067,0.5710649999999999,0.612996,0.562763,0.566571,0.64418,0.644524,0.438171,0.364352,0.42336899999999994,0.337077,0.43594499999999997,0.393631,0.391599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001589000000000007,0.215144,0.13974400000000003,0.251696,0.13515400000000005,0.18062300000000003,0.27307300000000007
683109,26057,b078a51f93e54c709e01295994e98b50,26057,0.192113,0.167182,0.024931,0.52582,0.5399609999999999,0.395771,0.521069,0.570141,0.509938,0.525211,0.544488,0.561022,0.645559,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.52582,0.5399609999999999,0.395771,0.521069,0.570141,0.509938,0.525211,0.544488,0.561022,0.645559,0.42652299999999993,0.464591,0.349431,0.526841,0.397492,0.39866799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15297300000000008,0.098522,0.239342,0.04425800000000002,0.17676200000000003,0.2660040000000001
703656,3113,e26434c96e8d4a72ac4250ff9e3b6984,3113,0.185703,0.162827,0.022876,0.486987,0.519927,0.535566,0.453938,0.500613,0.453283,0.49768500000000004,0.548884,0.548732,0.29199200000000003,0.579496,0.563113,0.588773,0.571099,0.574254,0.664672,0.486987,0.519927,0.535566,0.453938,0.500613,0.453283,0.49768500000000004,0.548884,0.548732,0.29199200000000003,0.532507,0.563113,0.49295600000000006,0.45931099999999997,0.524506,0.522305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04698900000000006,0.0,0.09581699999999993,0.11178800000000005,0.049748000000000014,0.14236700000000002
